Label ID,Short Code
108,Brain
101,CCA
105,Dead
100,HC_other
109,Lettuce
81,Macro
110,MCAV
112,MFRA
79,Mille
106,Mix
98,mob
97,Non-Bio
104,Octo
103,Other
113,PAST
94,Seagrass
114,SMIC
102,Sponge
111,SSID
107,Trans
