ID,Name,Default short code,Functional group,Sources using,Annotation count,MERMAID_BA,MERMAID_GF,Note
597,Red ALgae,RAlg,Algae,6,2594,Macroalgae,,
1064,"Red algae, filamentous",RAFI,Algae,5,4509,Macroalgae,,
2473,Red fleshy algae,RFA,Algae,49,3757,Macroalgae,,
3346,silt,SL*,Soft Substrate,12,1574,Silt,,
522,Red Turf,RedTurf,Algae,9,42579,Macroalgae,,
3435,Plating Coral,PLATEC,Hard coral,6,1559,Hard coral,Plates or tables,Not sure
4201,Rhipilia spp.,Rhp,Algae,31,6582,Rhipilia,,Need to add to MERMAID: https://www.marinespecies.org/aphia.php?p=taxdetails&id=143823
515,Rock,Rock,Hard Substrate,116,117964,Rock,,
524,Rock Rubble,RockRub,Hard Substrate,12,3605,Rubble,,Not sure
3459,Hard Coral Tabulate,HcT,Hard coral,9,799,Hard coral,Plates or tables,
2011,Cyanobacterium sp.,Cya_spe,Algae,6,627,Cyanobacterium,,Need to add to MERMAID: https://www.marinespecies.org/aphia.php?p=taxdetails&id=573277
3299,Rock Turf Algae,RCTA,Hard Substrate,16,8055,Turf algae,,
1911,Rock_Pavement,RckPav,Hard Substrate,13,10264,Other,,
1457,Rubble,Rubble,Other,121,77469,Rubble,,
2843,Rubbles,Rubbles,Other,6,24113,Rubble,,
3521,Ascidian (solitary),ASCD_sol,Other Invertebrates,10,1763,Ascidian,,
84,Sand,Sand,Soft Substrate,418,1882701,Sand,,
1402,Sand (soft),Sand_soft,Soft Substrate,14,115031,Sand,,
4573,Sand / Rubble,SaRub,Other,27,157469,Sand,,Not sure. Maybe Bare Subtrate?
106,Sand and sediment,Mix,Soft Substrate,7,7916,Sand,,Not sure. Maybe Bare Subtrate?
3796,Gorgonia ventalina,Gven,Other Invertebrates,8,657,Gorgonia ventalina,,Need to add to MERMAID: https://www.marinespecies.org/aphia.php?p=taxdetails&id=290045
4158,Sand/Silt,SSI,Soft Substrate,6,9777,Sand,,Not sure
429,Sargassum,Sargassum,Algae,112,7664,Sargassum,,
4319,Sargassum hystrix,SarHys,Algae,12,8394,Sargassum hystrix,,
94,Seagrass,Seagrass,Seagrass,71,257609,Seagrass,,
95,Sediment,Sediment,Soft Substrate,22,25657,Bare substrate,,
1639,sediment (fine),sed_fine,Soft Substrate,5,86682,Bare substrate,,
222,Shadow,SHAD,Other,76,50535,Other,,
523,Shell/ Shell Hash,Shell,Hard Substrate,16,6640,Other,,
4817,Sick CCA,SCCA,Algae,34,13628,Crustose coralline algae,,
474,Siderastrea,Siderastr,Hard coral,35,2586,Siderastrea,,
111,Siderastrea siderea,SidSid,Hard coral,43,14742,Siderastrea siderea,,
1807,Silt/Clay,Silt,Soft Substrate,57,8614,Silt,,
2051,Sinularia,Sinla,Other Invertebrates,33,12118,Sinularia,,
80,Soft Coral,SC,Other Invertebrates,249,75702,Soft coral,,
102,Sponge,SP,Other Invertebrates,196,75790,Sponge,,
2168,Sponge Other,SpgOth,Other Invertebrates,16,16459,Sponge,,
185,Stylophora,Styloph,Hard coral,72,3907,Stylophora,,
1276,CRED-Echinopora spp,*ECHP,Hard coral,9,679,Echinopora,,
4114,Substrate: Consolidated (hard),MGSC,Hard Substrate,11,382199,Bare substrate,,Not sure
369,Substrate: Unconsolidated : pebble/gravel,SUPG,Soft Substrate,6,5594,Bare substrate,,Not sure
4115,Substrate: Unconsolidated (soft),MGSU,Soft Substrate,9,6445,Bare substrate,,Not sure
1320,CRED-Tunicate,*TUN,Other Invertebrates,13,1472,Tunicate,,
1859,Syringodium,Syringodiu,Seagrass,12,3253,Syringodium,,
747,tag/frame/zspar etc,TAG,Other,23,15828,Other,,
1827,TAPE,TAPE,Other,40,16211,Other,,
4936,Tape_TWS,taptws,Other,6,2577,Other,,
2826,Thalassia testudinum,ThalTes,Seagrass,16,19164,Thalassia testudinum,,
142,Recent Dead Coral,RD_HC,Hard coral,62,1837,Dead coral,,
2453,Thick turf algae,Turf thick,Algae,5,7482,Turf algae,,
107,Transect hardware,Transect,Other,30,11884,Other,,
2515,Transect Tape,TT,Other,9,3183,Other,,
1854,Tunicate,Tunicate,Other Invertebrates,99,4698,Tunicate,,
432,Avrainvillea,Avrainvil,Algae,40,1017,Avrainvillea,,
465,Dictyopteris,Dictyopter,Algae,43,1515,Dictyopteris,,
435,Turbinaria (algae),Turbin,Algae,109,3778,Turbinaria-algae,,
3620,Tunicate (colonial),Tun_col,Other Invertebrates,8,1122,Tunicate,,
236,Hard Coral (submassive),HC_submass,Hard coral,19,957,Hard coral,Submassive,
1267,CRED-Free-living hard coral,*FREE,Hard coral,15,1231,Hard coral,Mushroom coral,
1913,Turf  algae,Turf_algae,Algae,23,114600,Turf algae,,
82,Turf algae,Turf,Algae,321,5496896,Turf algae,,
1561,Turf Algae (macroalgae),MAL_turf,Algae,8,10665,Turf algae,,
463,Turf and sand,Turf_sand,Algae,23,75219,Turf algae,,Not sure
